coin,g1,bh_price,bh_size,g2,bk_price,bk_size,g3,by_price,by_size,g4,ku_price,ku_size,g5,ga_price,ga_size,g6,curr_price,at_price,profit
sample,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
VANRY,,0.0,0.0,,0.1412,150.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
BTC,,59136.3100715668,0.0032557,,56449.52381714287,0.00105,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SUPER,,0.0,0.0,,0.737428571,28.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
WIF,,0.0,0.0,,2.4281,4.12,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
DYM,,0.0,0.0,,2.174,4.6,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
MAGIC,,0.0,0.0,,0.758069909,32.9,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SAGA,,2.3223,4.4,,2.321543943,5.473,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
NFP,,0.0,0.0,,0.438651669,35.34,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
PORTAL,,0.0,0.0,,0.8086,12.4,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
BOME,,0.0,0.0,,0.010772,930.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
BNB,,0.0,0.0,,551.0,0.02,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
UNFI,,0.0,0.0,,3.5,1.442126,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
DEGO,,0.0,0.0,,2.190031554,2.2818,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
PIXEL,,0.0,0.0,,0.5,9.77,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
XAI,,0.0,0.0,,0.77,6.11,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
METIS,,0.0,0.0,,0.0,0.0,,0.0,0.0,,35.0,0.5,,0,0,,0,0,0.0
ORDI,,0.0,0.0,,0.0,0.0,,0.0,0.0,,27.5,0.5,,0,0,,0,0,0.0
PHB,,0.0,0.0,,1.65,3.854,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SFP,,0.0,0.0,,0.7841682173427614,13.435,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
TRU,,0.0,0.0,,0.12,42.38,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
BOND,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,-2.23125
ASTR,,0.0,0.0,,0.0965,49.55,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
WAVES,,0.0,0.0,,0.0,0.0,,1.015,4.99,,0.0,0.0,,0,0,,0,0,0.0
MINA,,0.0,0.0,,0.0,0.0,,0.565,9.99,,0.0,0.0,,0,0,,0,0,0.0
ALCX,,16.33,0.3062,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
MANTA,,0.0,0.0,,2.0,2.25,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
AEVO,,0.9184892951647822,41.57000000000001,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
CHZ,,0.0761,132.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
GMX,,-0.2183333333333409,0.1079999999999999,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
STEEM,,0.2414,41.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
NEAR,,7.914,2.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SHIB,,1.721e-05,290529.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
1INCH,,0.3615,13.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SUSHI,,0.78,6.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
COMP,,47.27,0.106,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
AUCTION,,15.29,0.33,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SNX,,1.825,2.8,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
ACE,,2.948,1.7,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
SAND,,0.3058,17.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
PYTH,,0.3027,16.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
DYDX,,81.23,4.07,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,,0,0,0.0
